riding_id,riding_name,inc_fname,inc_lname,overview,article_link1,article_headline1,article_link2,article_headline2,article_link3,article_headline3
207,Abbotsford,Ed,Fast,,,,,,,
16,Abitibi--Baie-James--Nunavik--Eeyou,Sylvie,Bérubé,,,,,,,
17,Abitibi--Témiscamingue,Sébastien,Lemire,,,,,,,
218,Acadie--Bathurst,Serge,Cormier,,,,,,,
21,Ahuntsic-Cartierville,Mélanie,Joly,,,,,,,
68,Ajax,Mark,Holland,,,,,,,
22,Alfred-Pellan,Angelo,Iacono,,,,,,,
69,Algoma--Manitoulin--Kapuskasing,Carol,Hughes,,,,,,,
23,Argenteuil--La Petite-Nation,Stéphane,Lauzon,,,,,,,
70,Aurora--Oak Ridges--Richmond Hill,Leah,Taylor Roy,,,,,,,
9,Avalon,Ken,McDonald,,,,,,,
24,Avignon--La Mitis--Matane--Matapédia,Kristina,Michaud,,,,,,,
95,Banff--Airdrie,Blake,Richards,,,,,,,
71,Barrie--Innisfil,John,Brassard,,,,,,,
112,Barrie--Springwater--Oro-Medonte,Doug,Shipley,,,,,,,
96,Battle River--Crowfoot,Damien,Kurek,,,,,,,
254,Battlefords--Lloydminster,Rosemarie,Falk,,,,,,,
113,Bay of Quinte,Ryan,Williams,,,,,,,
114,Beaches--East York,Nathaniel,Erskine-Smith,,,,,,,
25,Beauce,Richard,Lehoux,,,,,,,
39,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,Caroline,Desbiens,,,,,,,
34,Beauport--Limoilou,Julie,Vignola,,,,,,,
217,Beauséjour,Dominic,LeBlanc,,,,,,,
26,Bécancour--Nicolet--Saurel,Louis,Plamondon,,,,,,,
27,Bellechasse--Les Etchemins--Lévis,Dominique,Vien,,,,,,,
28,Beloeil--Chambly,Yves-François,Blanchet,,,,,,,
29,Berthier--Maskinongé,Yves,Perron,,,,,,,
11,Bonavista--Burin--Trinity,Churence,Rogers,,,,,,,
35,Bourassa,Emmanuel,Dubourg,,,,,,,
97,Bow River,Martin,Shields,,,,,,,
115,Brampton Centre,Shafqat,Ali,,,,,,,
126,Brampton East,Maninder,Sidhu,,,,,,,
127,Brampton North,Ruby,Sahota,,,,,,,
128,Brampton South,Sonia,Sidhu,,,,,,,
129,Brampton West,Kamal,Khera,,,,,,,
227,Brandon--Souris,Larry,Maguire,,,,,,,
231,Brandon--Souris,Larry,Maguire,,,,,,,
144,Brantford--Brant,Larry,Brock,,,,,,,
36,Brome--Missisquoi,Pascale,St-Onge,,,,,,,
37,Brossard--Saint-Lambert,Alexandra,Mendès,,,,,,,
130,Bruce--Grey--Owen Sound,Alex,Ruff,,,,,,,
131,Burlington,Karina,Gould,,,,,,,
208,Burnaby North--Seymour,Terry,Beech,,,,,,,
209,Burnaby South,Jagmeet,Singh,,,,,,,
125,Calgary Centre,Greg,McLean,,,,,,,
124,Calgary Confederation,Len,Webber,,,,,,,
143,Calgary Forest Lawn,Jasraj Singh,Hallan,,,,,,,
142,Calgary Heritage,Shuvaloy,Majumdar,,,,,,,
98,Calgary Midnapore,Stephanie,Kusie,,,,,,,
150,Calgary Nose Hill,Michelle,Rempel Garner,,,,,,,
151,Calgary Rocky Ridge,Pat,Kelly,,,,,,,
99,Calgary Shepard,Tom,Kmiec,,,,,,,
158,Calgary Signal Hill,Ron,Liepert,,,,,,,
159,Calgary Skyview,George,Chahal,,,,,,,
145,Cambridge,Bryan,May,,,,,,,
