riding_id,riding_name,incumbent,overview,article_link1,article_headline1,article_link2,article_headline2
4,Ajax,Patrice Barnes,,,,,
101,Algoma-Manitoulin,Bill Rosenberg,,,,,
27,Aurora-Oak Ridges-Richmond Hill,Michael Parsa,,,,,
21,Barrie-Innisfil,Andrea Khanjin,,,,,
39,Barrie-Springwater-Oro-Medonte,Doug Downey,,,,,
43,Bay of Quinte,Tyler Allsopp,,,,,
6,Beaches-East York,Anna Michaelidis,,,,,
1,Brampton Centre,Charmaine Williams,,,,,
73,Brampton East,Hardeep Grewal,,,,,
75,Brampton North,Graham McGregor,,,,,
94,Brampton South,Prabmeet Sarkaria,,,,,
16,Brampton West,Amarjot Sandhu,,,,,
91,Brantford-Brant,Will Bouma,,,,,
110,Bruce-Grey-Owen Sound,Paul Vickers,,,,,
77,Burlington,Natalie Pierre,,,,,
92,Cambridge,Brian Riddell,,,,,
24,Carleton,George Darouze,,,,,
80,Chatham-Kent-Leamington,Trevor Jones,,,,,
116,Davenport,Nick Pavlov,,,,,
58,Don Valley East,Roger Gingerich,,,,,
18,Don Valley North,Susan Liu,,,,,
66,Don Valley West,Sam Moini,,,,,
65,Dufferin-Caledon,Sylvia Jones,,,,,
35,Durham,Todd McCarthy,,,,,
67,Eglinton-Lawrence,Michelle Cooper,,,,,
121,Elgin-Middlesex-London,Rob Flack,,,,,
52,Essex,Anthony Leardi,,,,,
19,Etobicoke Centre,Kinga Surma,,,,,
107,Etobicoke North,Doug Ford,,,,,
82,Etobicoke-Lakeshore,Christine Hogarth,,,,,
88,Flamborough-Glanbrook,Donna Skelly,,,,,
87,Glengarry-Prescott-Russell,Stéphane Sarrazin,,,,,
79,Guelph,Bob Coole,,,,,
9,Haldimand-Norfolk,Amy Martin,,,,,
41,Haliburton-Kawartha Lakes-Brock,Laurie Scott,,,,,
97,Hamilton Centre,Sarah Bokhari,,,,,
98,Hamilton East-Stoney Creek,Neil Lumsden,,,,,
96,Hamilton Mountain,Monica Cirello,,,,,
26,Hamilton West-Ancaster-Dundas,John Demik,,,,,
60,Hastings-Lennox and Addington,Ric Bresee,,,,,
109,Humber River-Black Creek,Paul Nguyen,,,,,
120,Huron-Bruce,Lisa Thompson,,,,,
30,Kanata-Carleton,Scott Phelan,,,,,
36,Kenora-Rainy River,Greg Rickford,,,,,
34,Kiiwetinoong,Walon Scott,This is another riding,https://www.pizzapizza.ca,Pizza Pizza Link,,
71,King-Vaughan,Stephen Lecce,,,,,
47,Kingston and the Islands,Ian Chapelle,,,,,
69,Kitchener Centre,Rob Elliott,,,,,
