riding_id,riding_name,incumbent,overview,article_link1,article_headline1,article_link2,article_headline2,article_link3,article_headline3
1,Marc-Aurèle-Fortin,,,,,,,,
2,Saint-Hyacinthe--Bagot,,,,,,,,
3,Saint-Jean,,,,,,,,
4,Saint-Léonard--Saint-Michel,,,,,,,,
5,Saint-Maurice--Champlain,,,,,,,,
6,Salaberry--Suroît,,,,,,,,
7,Delta,,,,,,,,
8,Fleetwood--Port Kells,,,,,,,,
9,Avalon,,,,,,,,
10,Long Range Mountains,,,,,,,,
11,Bonavista--Burin--Trinity,,,,,,,,
12,Coast of Bays--Central--Notre Dame,,,,,,,,
13,Labrador,,,,,,,,
14,St. John's East,,,,,,,,
15,St. John's South--Mount Pearl,,,,,,,,
16,Abitibi--Baie-James--Nunavik--Eeyou,,,,,,,,
17,Abitibi--Témiscamingue,,,,,,,,
18,Shefford,,,,,,,,
19,Saint-Laurent,,,,,,,,
20,Sherbrooke,,,,,,,,
21,Ahuntsic-Cartierville,,,,,,,,
22,Alfred-Pellan,,,,,,,,
23,Argenteuil--La Petite-Nation,,,,,,,,
24,Avignon--La Mitis--Matane--Matapédia,,,,,,,,
25,Beauce,,,,,,,,
26,Bécancour--Nicolet--Saurel,,,,,,,,
27,Bellechasse--Les Etchemins--Lévis,,,,,,,,
28,Beloeil--Chambly,,,,,,,,
29,Berthier--Maskinongé,,,,,,,,
30,Pierre-Boucher--Les Patriotes--Verchères,,,,,,,,
31,Oshawa,,,,,,,,
32,Trois-Rivières,,,,,,,,
33,Oakville North--Burlington,,,,,,,,
34,Beauport--Limoilou,,,,,,,,
35,Bourassa,,,,,,,,
36,Brome--Missisquoi,,,,,,,,
37,Brossard--Saint-Lambert,,,,,,,,
38,Rimouski-Neigette--Témiscouata--Les Basques,,,,,,,,
39,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,,,,,,,,
40,Châteauguay--Lacolle,,,,,,,,
41,Chicoutimi--Le Fjord,,,,,,,,
42,Compton--Stanstead,,,,,,,,
43,Drummond,,,,,,,,
44,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,,,,,,,,
45,Vimy,,,,,,,,
46,North Vancouver,,,,,,,,
47,Edmonton Strathcona,,,,,,,,
48,Edmonton West,,,,,,,,
49,Edmonton--Wetaskiwin,,,,,,,,
50,Dorval--Lachine--LaSalle,,,,,,,,
51,Charlesbourg--Haute-Saint-Charles,,,,,,,,
52,Ottawa Centre,,,,,,,,
53,York South--Weston,,,,,,,,
54,Pitt Meadows--Maple Ridge,,,,,,,,
55,Prince George--Peace River--Northern Rockies,,,,,,,,
56,Vaughan--Woodbridge,,,,,,,,
57,Waterloo,,,,,,,,
58,Wellington--Halton Hills,,,,,,,,
59,Vaudreuil--Soulanges,,,,,,,,
60,Thérèse-De Blainville,,,,,,,,
61,Terrebonne,,,,,,,,
62,Port Moody--Coquitlam,,,,,,,,
63,Richmond Centre,,,,,,,,
64,Esquimalt--Saanich--Sooke,,,,,,,,
65,Saanich--Gulf Islands,,,,,,,,
66,Whitby,,,,,,,,
67,Willowdale,,,,,,,,
68,Ajax,,,,,,,,
69,Algoma--Manitoulin--Kapuskasing,,,,,,,,
70,Aurora--Oak Ridges--Richmond Hill,,,,,,,,
71,Barrie--Innisfil,,,,,,,,
