riding_id,riding_name,inc_fname,inc_lname,con_can
298,Abbotsford—South Langley,,,Sukhman Singh Gill
33,Abitibi—Baie-James—Nunavik—Eeyou,Sylvie,Bérubé,Steve Corriveau
34,Abitibi—Témiscamingue,Sébastien,Lemire,Steve Tardif
12,Acadie—Annapolis,Chris,d'Entremont,Chris D'Entremont
23,Acadie—Bathurst,Serge,Cormier,James Brown
35,Ahuntsic-Cartierville,Mélanie,Joly,Margie Ramos
261,Airdrie—Cochrane,,,Blake Richards
111,Ajax,Mark,Holland,Greg Brady 
36,Alfred-Pellan,Angelo,Iacono,Louis Ialenti
112,Algonquin—Renfrew—Pembroke,Carol,Hughes,Cheryl Gallant
37,Argenteuil—La Petite-Nation,Stéphane,Lauzon,Martin Charron
113,Aurora—Oak Ridges—Richmond Hill,Leah,Taylor Roy,Costas Menegakis
1,Avalon,Ken,McDonald,Steve Kent
114,Barrie South—Innisfil,John,Brassard,John Brassard
115,Barrie—Springwater—Oro-Medonte,Doug,Shipley,Doug Shipley
262,Battle River—Crowfoot,Damien,Kurek,Damien Kurek
247,Battlefords—Lloydminster—Meadow Lake,Rosemarie,Falk,Rosemarie Falk
116,Bay of Quinte,Ryan,Williams,Ryan Williams
117,Beaches—East York,Nathaniel,Erskine-Smith,Jocelyne Poirier
38,Beauce,Richard,Lehoux,Jason Groleau
39,Beauharnois—Salaberry—Soulanges—Huntingdon,Claude,DeBellefeuille,Priska St-Pierre
40,Beauport—Limoilou,Julie,Vignola,Hugo Langlois
24,Beauséjour,Dominic,LeBlanc,Nathalie Vautour
41,Bécancour—Nicolet—Saurel—Alnôbak,Louis,Plamondon,Michel Plourde
42,Bellechasse—Les Etchemins—Lévis,Dominique,Vien,Dominique Vien
43,Beloeil—Chambly,Yves-François,Blanchet,Sylvain Goulet
44,Berthier—Maskinongé,Yves,Perron,
45,Bourassa,Emmanuel,Dubourg,Nehemie Dumay
263,Bow River,Martin,Shields,David Bexte
118,Bowmanville—Oshawa North,,,Jamil Jivani
119,Brampton Centre,Shafqat,Ali,Taran Chahal
121,Brampton East,Maninder,Sidhu,Bob Dosanjh Singh
122,Brampton North—Caledon,Ruby,Sahota,Amandeep Judge
123,Brampton South,Sonia,Sidhu,Sukhdeep Kang
124,Brampton West,Kamal,Khera,Amarjeet Gill
120,Brampton—Chinguacousy Park,,,Tim Iqbal
233,Brandon—Souris,Larry,Maguire,Grant Jackson
125,Brantford—Brant South—Six Nations,Larry,Brock,Larry Brock
46,Brome—Missisquoi,Pascale,St-Onge,Steve Charbonneau
47,Brossard—Saint-Lambert,Alexandra,Mendès,William Huynh-Jan
126,Bruce—Grey—Owen Sound,Alex,Ruff,Alex Ruff
127,Burlington,Karina,Gould,Emily Brown
128,Burlington North—Milton West,,,Nadeem Akbar
299,Burnaby Central,,,James Yan
300,Burnaby North—Seymour,Terry,Beech,Mauro Francis
264,Calgary Centre,Greg,McLean,Greg McLean
265,Calgary Confederation,Len,Webber,Jeremy Nixon
266,Calgary Crowfoot,,,Pat Kelly
267,Calgary East,,,Jasraj Singh Hallan
268,Calgary Heritage,Shuvaloy,Majumdar,Shuv Majumdar
269,Calgary McKnight,,,Dalwinder Gill
270,Calgary Midnapore,Stephanie,Kusie,Stephanie Kusie
271,Calgary Nose Hill,Michelle,Rempel Garner,Michelle Rempel Garner
272,Calgary Shepard,Tom,Kmiec,Tom Kmiec
273,Calgary Signal Hill,Ron,Liepert,David McKenzie
274,Calgary Skyview,George,Chahal,Amanpreet Gill
129,Cambridge,Bryan,May,Connie Cody
13,Cape Breton—Canso—Antigonish,Mike,Kelloway,Allan MacMaster
2,Cape Spear,,,Corey Curtis
8,Cardigan,Lawrence,MacAulay,James Aylward
301,Cariboo—Prince George,Todd,Doherty,Todd Doherty
130,Carleton,Pierre,Poilievre,Pierre Poilievre
248,Carlton Trail—Eagle Creek,Kelly,Block,Kelly Block
3,Central Newfoundland,,,Clifford Small
14,Central Nova,Sean,Fraser,Brycen Jenkins
48,Charlesbourg—Haute-Saint-Charles,,,Pierre Paul-Hus
9,Charlottetown,Sean,Casey,Natalie Jameson
49,Châteauguay—Les Jardins-de-Napierville,Brenda,Shanahan,David De Repentigny
131,Chatham-Kent—Leamington,Dave,Epp,Dave Epp
50,Chicoutimi—Le Fjord,Richard,Martel,Richard Martel
302,Chilliwack—Hope,Mark,Strahl,Mark Strahl
234,Churchill—Keewatinook Aski,Niki,Ashton,Lachlan DeNardi
