"FED_NUM,N,5,0","ED_NAMEE,C,100","ED_NAMEF,C,100","REP_ORDER,C,4","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
10001,Avalon,Avalon,2023,8020017126.44,422619.235867
10002,Cape Spear,Cape Spear,2023,195273845.265,82278.0916262
10003,Central Newfoundland,Central Newfoundland,2023,57535533683,1116157.56585
10004,Labrador,Labrador,2023,334056287749,5831256.33875
10005,Long Range Mountains,Long Range Mountains,2023,57888760921.2,1489363.13103
10006,St. John's East,St. John’s-Est,2023,905358970.298,131759.09777
10007,Terra Nova—The Peninsulas,Terra Nova—Les Péninsules,2023,37814372987.6,1156696.90028
11001,Cardigan,Cardigan,2023,4089404183.35,288146.721985
11002,Charlottetown,Charlottetown,2023,55173797.2428,39581.9693859
11003,Egmont,Egmont,2023,2289341800.04,265720.881244
11004,Malpeque,Malpeque,2023,2514132006.53,259789.454017
12001,Acadie—Annapolis,Acadie—Annapolis,2023,12269951083.8,573273.375133
12002,Cape Breton—Canso—Antigonish,Cape Breton—Canso—Antigonish,2023,20565331006.9,817039.157442
12003,Central Nova,Nova-Centre,2023,11811363069.2,680355.017649
12004,Cumberland—Colchester,Cumberland—Colchester,2023,11078185377.3,558850.759996
12005,Dartmouth—Cole Harbour,Dartmouth—Cole Harbour,2023,171937784.755,60798.4082611
12006,Halifax,Halifax,2023,662559136.93,206116.893837
12007,Halifax West,Halifax-Ouest,2023,712635110.057,121921.094639
12008,Kings—Hants,Kings—Hants,2023,5814964012.37,368456.432932
12009,Sackville—Bedford—Preston,Sackville—Bedford—Preston,2023,655546325.304,136251.623609
12010,South Shore—St. Margarets,South Shore—St. Margarets,2023,11715237548.1,559853.922059
12011,Sydney—Glace Bay,Sydney—Glace Bay,2023,751701649.569,148712.513989
13001,Acadie—Bathurst,Acadie—Bathurst,2023,6321960013.26,492176.241623
13002,Beauséjour,Beauséjour,2023,5138054673.85,524813.515647
13003,Fredericton—Oromocto,Fredericton—Oromocto,2023,288932373.525,148142.140179
13004,Fundy Royal,Fundy Royal,2023,7655086863.95,553831.448029
13005,Madawaska—Restigouche,Madawaska—Restigouche,2023,13721962393.9,879938.215614
13006,Miramichi—Grand Lake,Miramichi—Grand Lake,2023,19781463676,945548.391909
13007,Moncton—Dieppe,Moncton—Dieppe,2023,170686269.544,71300.5678938
13008,Saint John—Kennebecasis,Saint John—Kennebecasis,2023,418296902.002,128446.645893
13009,Saint John—St. Croix,Saint John—St. Croix,2023,11172815914,793652.990789
13010,Tobique—Mactaquac,Tobique—Mactaquac,2023,15388621587.4,828507.977455
24001,Abitibi—Baie-James—Nunavik—Eeyou,Abitibi—Baie-James—Nunavik—Eeyou,2023,858585391811,8105691.65346
24002,Abitibi—Témiscamingue,Abitibi—Témiscamingue,2023,37659879004.9,1379024.5662
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,2023,24003308.6781,31689.8883826
24004,Alfred-Pellan,Alfred-Pellan,2023,128967253.719,56370.8205538
24005,Argenteuil—La Petite-Nation,Argenteuil—La Petite-Nation,2023,5404881268.18,488337.37799
24006,Beauce,Beauce,2023,4244243161.44,402841.244279
24007,Beauharnois—Salaberry—Soulanges—Huntingdon,Beauharnois—Salaberry—Soulanges—Huntingdon,2023,1987219357.74,242006.211171
24008,Beauport—Limoilou,Beauport—Limoilou,2023,54836295.5067,34192.4131164
24009,Bécancour—Nicolet—Saurel—Alnôbak,Bécancour—Nicolet—Saurel—Alnôbak,2023,3131636317.57,389299.479351
24010,Bellechasse—Les Etchemins—Lévis,Bellechasse—Les Etchemins—Lévis,2023,3344614818.87,343189.630637
24011,Beloeil—Chambly,Beloeil—Chambly,2023,345363049.141,104673.662322
24012,Berthier—Maskinongé,Berthier—Maskinongé,2023,4695300029.15,505285.213125
24013,Bourassa,Bourassa,2023,16191026.5626,19606.8402943
24014,Brome—Missisquoi,Brome—Missisquoi,2023,3033699716.61,345753.873817
