riding_name,riding_id,candidate,party,news_story,pub_date,publication,link
Elgin--Middlesex--London,291,Andrew Lawton,Conservative,"Conservative Candidate Used a Secret Signal Group Chat With Freedom Convoy Leaders, Right-Wing Media and Far-Right Influencers ",,PressProgress,https://pressprogress.ca/conservative-candidate-used-a-secret-signal-group-chat-with-freedom-convoy-leaders-right-wing-media-and-far-right-influencers/
Elgin--Middlesex--London,291,Andrew Lawton,Conservative,Ontario PC candidate Andrew Lawton: gender and racial discrimination should be legal ,,PressProgress,https://pressprogress.ca/ontario-pc-candidate-andrew-lawton-gender-and-racial-discrimination-should-be-legal/
Elgin--Middlesex--London,291,Andrew Lawton,Conservative,Here are PC candidate Andrew Lawton’s worst moments (so far) ,,PressProgress,https://pressprogress.ca/here-are-pc-candidate-andrew-lawtons-worst-moments-so-far/
Carleton,315,Pierre Poilievre,Conservative,Pierre Poilievre is Trying to Distance Himself From Donald Trump. American Right-Wing Media Keeps Praising Poilievre. ,,PressProgress,https://pressprogress.ca/pierre-poilievre-is-trying-to-distance-himself-from-donald-trump-american-right-wing-media-keeps-praising-poilievre/
Carleton,315,Pierre Poilievre,Conservative,How Danielle Smith is Derailing Pierre Poilievre’s Conservative Campaign ,,PressProgress,https://pressprogress.ca/how-danielle-smith-is-derailing-pierre-poilievres-conservative-campaign/
Carleton,315,Pierre Poilievre,Conservative,Pierre Poilievre Rails Against ‘Authoritarian Wokeism’ in Response to Policy From Doug Ford’s Government ,2023-09-14,PressProgress,https://pressprogress.ca/pierre-poilievre-rails-against-authoritarian-wokeism-in-response-to-policy-from-doug-fords-government/
Niagara West,149,Dean Allison,Conservative,Conservative MP Sponsors Petition Promoting Use of Unproven and Unsafe Drug to Treat COVID-19 ,2021-11-09,PressProgress,https://pressprogress.ca/conservative-mp-sponsors-petition-promoting-use-of-unproven-and-unsafe-drug-to-treat-covid-19/
Niagara West,149,Dean Allison,Conservative,Conservative MP Presents Petition To Ban COVID-19 Vaccines for All Canadian Adults of ‘Child-Bearing Age’,2022-03-09,PressProgress,https://pressprogress.ca/conservative-mp-presents-petition-to-ban-covid-19-vaccines-for-all-canadian-adults-of-child-bearing-age/
Niagara West,149,Dean Allison,Conservative,"Top Conservative Anti-LGBTQ, Anti-Abortion and Anti-Vaccine Eruptions of 2021 ",2021-12-30,PressProgress,https://pressprogress.ca/top-conservative-anti-lgbtq-anti-abortion-and-anti-vaccine-eruptions-of-2021/
York Centre,90,Roman Baber,Conservative,Conservative Leadership Campaign Paid ‘Anti-Mask’ Group Leader To Sell Party Memberships ,2023-07-26,PressProgress,https://pressprogress.ca/conservative-leadership-campaign-paid-anti-mask-group-leader-to-sell-party-memberships/
York Centre,90,Roman Baber,Conservative,Star Conservative Candidate Goes Doorknocking With Right-Wing Anti-Lockdown Politician ,2021-07-13,PressProgress,https://pressprogress.ca/star-conservative-candidate-goes-doorknocking-with-right-wing-anti-lockdown-politician/
York Centre,90,Roman Baber,Conservative,Pierre Poilievre Rails Against ‘Authoritarian Wokeism’ in Response to Policy From Doug Ford’s Government ,2023-09-14,PressProgress,https://pressprogress.ca/pierre-poilievre-rails-against-authoritarian-wokeism-in-response-to-policy-from-doug-fords-government/
Leeds--Grenville--Thousand Islands and Rideau Lakes,322,Michael Barrett,Conservative, More Than Half of Andrew Scheer’s Elected Conservative MPs Were Supported by Anti-Abortion Groups ,2019-10-25,PressProgress,https://pressprogress.ca/more-than-half-of-andrew-scheers-elected-conservative-mps-were-supported-by-anti-abortion-groups/
