riding_id,riding_name,bq_can,ppc_can,ndp_can,cpc_can,lib_can,gp_can
298,Abbotsford—South Langley,,Aeriol Alderking,Dharmasena Yakandawela,Sukhman Singh Gill,Kevin Gillies,Melissa Snazell
33,Abitibi—Baie-James—Nunavik—Eeyou,Sylvie Bérubé,,Thai Higashihara,Steve Corriveau,Mandy Gull,
34,Abitibi—Témiscamingue,Sébastien Lemire,,Jérémie Juneau,Steve Tardif,Jonathan Andresen,
12,Acadie—Annapolis,,,Ingrid Deon,Chris D'Entremont,Ronnie LeBlanc,Matthew Piggott
23,Acadie—Bathurst,,Randi Raynard,Ty Boulay,James Brown,Serge Cormier,
35,Ahuntsic-Cartierville,Nabila Ben Youssef,,Idil Issa,Margie Ramos,Mélanie Joly,
261,Airdrie—Cochrane,,,Sarah Zagoda,Blake Richards,Sean Secord,
111,Ajax,,,Kyle Forster,Greg Brady,Jennifer McKelvie,Leigh Paulseth
36,Alfred-Pellan,Isabel Dion,Ludovic Claude Mbany,Jordan Larochelle,Louis Ialenti,Angelo Iacono,
112,Algonquin—Renfrew—Pembroke,,,Eileen Jones Whyte,Cheryl Gallant,Cyndi Mills,Danilo Velasquez
37,Argenteuil—La Petite-Nation,Martin Héroux,,Michel Welt,Martin Charron,Stéphane Lauzon,Bertha Fuchsman-Small
113,Aurora—Oak Ridges—Richmond Hill,,,Danielle Maniuk,Costas Menegakis,Leah Taylor Roy,
1,Avalon,,,Judy Vanta,Steve Kent,Paul Connors,
114,Barrie South—Innisfil,,,Andrew Harrigan,John Brassard,John Olthuis,
115,Barrie—Springwater—Oro-Medonte,,,Gabriela Trujillo,Doug Shipley,Rose Zacharias,
262,Battle River—Crowfoot,,Jonathan Bridges,James MacKay,Damien Kurek,Brent Sutton,
247,Battlefords—Lloydminster—Meadow Lake,,,William Petryk,Rosemarie Falk,Larry Ingram,
116,Bay of Quinte,,,Kate Crothers,Ryan Williams,Chris Malette,
117,Beaches—East York,,,Shannon Devine,Jocelyne Poirier,Nathaniel Erskine-Smith,
38,Beauce,Gaétan Mathieu,Max Bernier,Annabelle Lafond-Poirier,Jason Groleau,Maryelle-Henriette Doumbia,
39,Beauharnois—Salaberry—Soulanges—Huntingdon,Claude DeBellefeuille,Martin Lévesque,Tyler Jones,Priska St-Pierre,Miguel Perras,
40,Beauport—Limoilou,Julie Vignola,Andrée Massicotte,Raymond Côté,Hugo Langlois,Steeve Lavoie,
24,Beauséjour,,Eddie Cornell,Alex Gagné,Nathalie Vautour,Dominic LeBlanc,
41,Bécancour—Nicolet—Saurel—Alnôbak,Louis Plamondon,,Tommy Gagnon,Michel Plourde,Pierre Tousignant,
42,Bellechasse—Les Etchemins—Lévis,Gaby Breton,Mario Fréchette,Marie-Philippe Gagnon-Gauthier,Dominique Vien,Glenn O’Farrell,
43,Beloeil—Chambly,Yves-François Blanchet,Nicholas Manes,Marie-Josée Béliveau,Sylvain Goulet,Nicholas Malouin,
44,Berthier—Maskinongé,Yves Perron,Elia Gomez-Gnali,Ruth Ellen Brosseau,Peter Saliba,Stéphane Bilodeau,
45,Bourassa,Jency Mercier,Jean-Marc Lamothe,Catherine Gauvin,Nehemie Dumay,Abdelhaq Sari,
263,Bow River,,,Louisa Gwin,David Bexte,,
118,Bowmanville—Oshawa North,,,Elenor Marano,Jamil Jivani,Bridget Girard,
119,Brampton Centre,,Simmi Hundal,Anil Boodhai,Taran Chahal,Amandeep Sodhi,
121,Brampton East,,Jeff Lal,Haramrit Singh,Bob Dosanjh Singh,Maninder Sidhu,
122,Brampton North—Caledon,,Sat Anand,Ruby Zaman,Amandeep Judge,Ruby Sahota,
123,Brampton South,,Vijay Kumar,Rajni Sharma,Sukhdeep Kang,Sonia Sidhu,
124,Brampton West,,,Zaigham Javed,Amarjeet Gill,Kamal Khera,
120,Brampton—Chinguacousy Park,,Jayesh Brahmbhatt,,Tim Iqbal,Shafqat Ali,
233,Brandon—Souris,,,Quentin Robinson,Grant Jackson,,
125,Brantford—Brant South—Six Nations,,,Anne Gajerski-Cauley,Larry Brock,Joy O’Donnell,
46,Brome—Missisquoi,Jeff Boudreault,Jack McLeod,Zoe Larose,Steve Charbonneau,Louis Villeneuve,
47,Brossard—Saint-Lambert,Soledad Orihuela-Bouchard,Hector Huerta,Zeinab Akkaoui,William Huynh-Jan,Alexandra Mendès,
126,Bruce—Grey—Owen Sound,,,Chris Neudorf,Alex Ruff,Anne Marie Watson,
127,Burlington,,Michael Bator,Michael Beauchemin,Emily Brown,Karina Gould,
128,Burlington North—Milton West,,,Naveed Ahmed,Nadeem Akbar,Adam van Koeverden,
299,Burnaby Central,,Richard Farbridge,Jagmeet Singh,James Yan,Wade Chang,
300,Burnaby North—Seymour,,Jesse Fulton,Michael Charrois,Mauro Francis,Terry Beech,
264,Calgary Centre,,Robert Hawley,Beau Shaw,Greg McLean,Lindsay Luhnau,
265,Calgary Confederation,,Artyom Ovsepyan,Keira Gunn,Jeremy Nixon,Corey Hogan,
266,Calgary Crowfoot,,,Jim Samuelson,Pat Kelly,Shahnaz Munir,
267,Calgary East,,Harry Dhillon,Jennifer Geha,Jasraj Singh Hallan,Priti Obhrai-Martin,
268,Calgary Heritage,,,Becki Zimmerman,Shuv Majumdar,Scott Arnott,
269,Calgary McKnight,,Najeeb Butt,Arlington Antonio Santiago,Dalwinder Gill,George Chahal,
270,Calgary Midnapore,,Colin Kindret,Austin Mullins,Stephanie Kusie,Sunjiv Raval,
271,Calgary Nose Hill,,,Ahmed Khan,Michelle Rempel Garner,Tom Becker,
272,Calgary Shepard,,Donald Legere,Tory Tomblin,Tom Kmiec,Gul Khan,
273,Calgary Signal Hill,,,Khalis Ahmed,David McKenzie,Bryndis Whitson,
274,Calgary Skyview,,,Rajesh Angral,Amanpreet Gill,Hafeez Malik,
129,Cambridge,,,José de Lima,Connie Cody,Bryan May,
13,Cape Breton—Canso—Antigonish,,,Joanna Clark,Allan MacMaster,Jaime Battiste,
2,Cape Spear,,,Brenda Walsh,Corey Curtis,Tom Osborne,
8,Cardigan,,Adam Harding,Lynne Thiele,James Aylward,Kent MacDonald,
301,Cariboo—Prince George,,,Angie Bonazzo,Todd Doherty,Clinton Emslie,
